section_count_before,section_count_after,angle_max,section_max1_value,section_max2_value,section_max3_value,section_max4_value,section_max5_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
64,19,45.29686666732469,337.30846416892655,107.61505470890214,91.2414379544733,39.44616584663204,37.656340767525464,44.26360172068897,12.206555615733702,32.044445353669246,890.0672999999988,31.40810000000056,46.84564736842099,1.0
6,3,17.68439202655774,45.803929962395145,9.486832980505138,3.1622776601683795,0.0,0.0,19.484346867689556,9.486832980505138,1.459054480204437,296.39789999999994,120.71669999999722,98.79929999999997,1.0
14,3,30.96375653207352,148.43180252223578,7.0,1.4142135623730951,0.0,0.0,52.2820053615363,7.0,0.5620297088977634,286.8391999999985,55.90359999999782,95.61306666666617,1.0
24,8,113.14403351288958,128.03515142334936,42.579337712087536,24.020824298928627,23.600847442411894,21.18962010041709,33.936467591556315,22.395233771414492,26.07712337147418,777.8267999999989,74.98984999999993,97.22834999999986,1.0
12,5,23.198590513648202,42.190046219457976,32.55764119219941,31.11269837220809,10.770329614269007,8.94427190999916,25.114997461626725,31.11269837220809,3.236245529848796,451.8751000000011,94.62590000000273,90.37502000000022,1.0
15,7,10.992507580267716,63.324560795950255,35.84689665786984,21.095023109728988,19.313207915827967,11.40175425099138,23.308826088266766,19.313207915827967,3.8680946788016146,408.9508999999998,35.696399999997084,58.42155714285712,1.0
30,13,56.88865803962798,105.04284840006957,47.53945729601885,37.16180835212409,37.05401462729781,22.847319317591726,26.13213118231992,12.806248474865697,12.205207574773597,2685.1934999999976,43.72100000000137,206.55334615384598,1.0
67,14,62.487997376148556,613.8509591097826,352.30242690052535,70.00714249274856,37.0,33.61547262794322,89.18308864686169,23.704699910719626,73.868809990738,3145.7955,66.08430000000044,224.6996785714286,1.0
116,24,36.41637851988605,529.667820430881,489.8407904615539,219.66565503054863,155.0290295396317,131.18688958886096,81.52359347533192,21.550310646655426,227.11770302603483,2911.2315000000017,61.49985000000015,121.30131250000007,1.0
63,15,30.323606862549983,784.1492204931405,206.39040675380238,127.40486646906389,59.36328831862332,35.0,88.9250448921949,11.704699910719626,17.652026574419004,641.6916999999958,26.73279999999795,42.77944666666638,1.0
53,13,42.27368900609373,369.947293543283,238.8158286211364,127.7810627597063,63.071388124885914,48.33218389437829,73.3832558655499,16.76305461424021,30.297853778635307,1826.5336000000025,36.672700000002806,140.50258461538482,1.0
91,16,43.264295411071615,280.2427519134081,215.59452683219953,205.1389772812568,157.49285698088025,82.20097323024831,74.32924604008235,27.389697126931818,52.453399273877736,1292.2424000000028,82.62555000000066,80.76515000000018,1.0
50,6,77.83141072240491,1201.1348800197254,45.39823785126467,10.44030650891055,10.198039027185569,6.708203932499369,212.9799445565976,10.319172768048059,8.887925903233095,523.5694999999978,78.23945000000094,87.26158333333296,1.0
45,12,17.94420468232089,289.6653241242382,91.28526715741155,43.9089968002003,28.178005607210743,26.92582403567252,49.387872343455946,24.430873247123785,45.81094738471079,696.8977999999988,40.10284999999931,58.07481666666657,1.0
40,9,19.68975260808665,211.28653530218153,112.0044641967453,65.29931086925804,60.21627686929839,33.12099032335839,61.66550763498632,33.12099032335839,12.532102212324784,597.3269999999975,44.542700000005425,66.36966666666639,1.0
40,5,13.240519915187186,304.9622927510875,138.63621460498698,46.17358552246078,37.12142238654117,15.620499351813308,108.50280292337796,46.17358552246078,7.987955922821887,494.9930000000022,59.51849999999831,98.99860000000044,1.0
