section_count_before,section_count_after,angle_max,section_max_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
58,12,64.6538240580533,434.1658669218482,64.68554937239956,25.013205233896894,29.19131715533355,1952.904899999994,49.14270000000397,162.74207499999952,1
9,3,129.5387086553898,76.24303246854758,34.696357553621986,17.029386365926403,7.383633530295235,1980.830799999996,928.1483999999909,660.2769333333321,1
54,11,16.699244233993618,204.61182761512103,65.56314237028637,13.45362404707371,27.98434900287723,600.5097999999998,35.98510000000533,54.591799999999985,1
98,20,58.70696100407981,302.0149002946709,71.20587319562863,35.45536305706214,39.06147851673904,3449.934899999993,44.00714999999764,172.49674499999963,1
30,9,84.8055710922652,116.92732785794773,38.24330796714322,24.020824298928627,11.343852155393188,1562.0261000000028,112.01110000000335,173.55845555555587,1
84,16,93.0475923714325,906.9421150216809,99.07220528840497,13.947217137218235,44.9884022725058,1806.2217000000092,54.99829999999929,112.88885625000057,1
32,8,47.050829348846754,124.03628501370073,47.29067963984913,15.75075274661658,2.7334991482236,454.02360000000044,34.17384999999922,56.752950000000055,1
25,6,31.022756741839157,291.171770609721,58.48379781969832,10.837753414960956,14.455096391381971,1719.8260999999911,123.98385000000417,286.63768333333184,1
77,16,93.3664606634298,314.9634899476446,64.31147580772604,22.716057683492245,172.75939031056063,3017.197600000014,58.49619999999413,188.57485000000088,1
99,27,67.61986494804043,214.70444802099468,50.36488399641711,21.095023109728988,93.14789288449465,3664.7525000000023,39.23660000000382,135.73157407407416,1
17,5,55.99250758026773,100.12492197250393,40.30116478198748,44.28317965096906,11.232762963252872,611.7049999999872,142.00049999999464,122.34099999999744,1
114,19,142.49585763972988,395.38588745679834,83.11518758645444,49.64876634922564,115.62747635863873,2193.2400999999954,83.99020000000019,115.43368947368397,1
57,10,145.1630035785588,221.00904958847272,73.50626500769128,49.074249823833256,40.70559328556981,3058.7108000000007,76.50520000001416,305.87108000000006,1
24,8,25.143032286548497,117.27318534089538,38.43244270597407,17.68017603504142,5.152357093013515,1839.6472000000067,64.00645000000077,229.95590000000084,1
