section_count_before,section_count_after,angle_max,section_max1,section_max2,section_max3,section_max4,section_max5,section_median,section_average,square,time,time_max1,time_max2,time_max3,time_max4,time_max5,time_median,time_average,condition
28,14,177.2736890060938,59.0,44.0,43.56604182158393,22.0,21.18962010041709,15.897934007793626,21.568493393280875,7.987208596965745,9873.07799999998,2379.2729999999865,1847.5946999999578,1504.7434000000358,931.4824000000372,820.952099999995,372.5319999999774,705.2198571428556,0
126,29,142.49585763972988,350.1728144787942,241.10785968109792,145.83552379307312,126.84636376341263,108.50345616615168,21.095023109728988,56.18648911916721,324.03026363760745,6284.50469999999,2480.994399999967,1707.9793000000063,428.0146999999997,175.99949999997625,164.1310999999987,51.696100000001024,216.70705862068934,0
35,14,78.69006752597979,83.21658488546619,57.0087712549569,54.00925846556311,49.040799340956916,45.31004303683677,17.748214979132623,28.859858222307423,23.52985788414424,2739.6063999999897,1750.4315999999526,372.30119999998715,111.0564000000013,102.01930000004359,100.35580000001937,59.50454999998328,195.6861714285707,0
53,11,100.47423482822583,176.02556632489498,166.37908522407497,113.1591799192624,77.92945527847606,62.96824596572466,22.47220505424423,61.845634546637115,21.069016250643465,3074.3795999999857,2159.9073999999673,189.90750000003027,160.46590000001015,128.0280999999959,122.84049999999115,109.09909999999218,279.48905454545326,0
43,17,125.14867265719195,91.7877987534291,79.83107164506812,56.08029957123981,53.75872022286245,48.373546489791295,12.806248474865697,28.688602837698085,36.632879623858265,1884.1577000000398,375.78800000000047,307.11489999998594,257.10210000001825,155.58329999999842,128.99089999997523,76.001200000057,110.83280588235527,0
81,20,162.97947438848016,278.92113580723856,160.51479682571323,141.315250415516,119.68291440301745,69.8927750200262,19.126637539085245,52.01935190113036,155.4682087062149,4780.380000000005,1611.5074000000022,1371.8801000000094,480.87819999997737,331.97669999999925,144.29899999999907,67.88714999999502,239.01900000000023,0
9,5,21.17573941710459,37.53664875824692,15.033296378372908,11.40175425099138,11.40175425099138,10.44030650891055,11.40175425099138,17.162752029502627,5.421707721928203,549.6843000000226,243.68469999998342,179.01970000000438,55.98009999998612,44.019200000038836,26.980600000009872,55.98009999998612,109.93686000000453,0
96,28,129.59478489451507,286.50479926172267,230.3584163862914,140.68759717899798,114.47707194019246,100.04498987955368,11.87314724475596,47.748925204625436,124.96163393309358,5750.92300000001,1687.7922000000253,1096.5994000000064,939.5643000000273,458.9380999999703,193.26360000000568,44.007299999997485,205.3901071428575,0
37,4,11.1759075032358,323.48261158832014,82.85529554590944,65.14598989960932,10.295630140987,0.0,74.00064272275938,120.44488179370647,8.764143408403903,1523.527300000016,1075.1577999999863,296.25380000000587,144.11560000001919,8.00010000000475,0.0,220.18470000001253,380.881825000004,0
16,6,36.666641890038974,55.94640292279746,48.60041152089147,42.37924020083418,10.44030650891055,4.47213595499958,26.409773354872367,27.139749518072204,8.133827773969028,529.234999999986,143.9812999999849,121.55859999998938,92.45130000001518,91.79690000001574,71.45620000001509,92.12410000001546,88.205833333331,0
